Hero Name,Role,Win Rate (%),Popularity (%),Ban Rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Zilong,Fighter/Assassin,48.99,0.53,0.28,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,53.02
Lolita,Support/Tank,59.25,0.22,0.28,1,4,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,53.0
Clint,Marksman,50.02,1.47,1.12,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,52.82
Eudora,Mage,49.87,0.45,0.61,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,52.52
Zhask,Mage,51.91,0.36,0.07,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,52.18
Valentina,Mage,45.89,0.53,0.28,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,52.09
Tigreal,Tank,45.0,1.54,0.95,1,4,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,52.0
Hayabusa,Assassin,51.54,1.65,70.28,0,2,4,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,51.99
Masha,Fighter/Tank,54.63,0.25,0.22,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.91
Aurora,Mage,48.73,0.42,0.03,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.82
Minsitthar,Fighter,48.92,0.41,0.39,1,0,3,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.81
Cyclops,Mage,50.14,0.36,0.05,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.65
